Produit,Allergène,Score,Lien,pix,Description,composition
12 SODEBO     Pizza 4 fromages 470g,"ble, lait, oeuf",C,https://www.auchan.fr/sodebo-pizza-4-fromages/pr-C1216996,2679,la pizz' c'est pour toutes les occasions mais surtout pour tous les gouts !,na
15 SODEBO     Pizza au chorizo 470g,"ble, lait",D,https://www.auchan.fr/sodebo-pizza-au-chorizo/pr-C1216994,2680,"la pizz' c'est pour toutes les occasions, mais surtout pour tous les gouts !",na
14 SODEBO     Pizza jambon emmental 470g,"ble, lait, oeuf",C,https://www.auchan.fr/sodebo-pizza-jambon-emmental/pr-C1216998,2681,la pizz' c'est pour toutes les occasions mais surtout pour tous les gouts !,na
AUCHAN BIO     Pizza 3 fromages bio 380g,"presence de   ble ou hybrides et produits a base de ces cereales,lait et produits a base de lait  y compris lactose traces de   crustaces et produits a base de crustaces,oeufs et produits a base  oeufs,poissons et produits a base de poissons",C,https://www.auchan.fr/auchan-bio-pizza-3-fromages-bio/pr-C1276791,2682,na,na
4 AUCHAN     Mini pizza chorizo merguez 180g,presence de   ble ou hybrides et produits a base de ces cereales /  lait et produits a base de lait  y compris lactose ,C,https://www.auchan.fr/auchan-mini-pizza-chorizo-merguez/pr-C1219445,2683,na,na
1 LA TOQUE ANGEVINE     Jambon -25% de sel sans couenne 450g,"peut contenir des traces de mollusques, crustaces, oeufs, poissons et fruits a coque ",na,https://www.auchan.fr/la-toque-angevine-jambon-25-de-sel-sans-couenne/pr-C1179541,2684,na,na
22 AUCHAN     Pizza au chorizo 450g,"presence de   ble ou hybrides et produits a base de ces cereales,lait et produits a base de lait  y compris lactose traces de   moutarde et produits a base de moutarde,oeufs et produits a base  oeufs,poissons et produits a base de poissons",D,https://www.auchan.fr/auchan-pizza-au-chorizo/pr-C1201579,2685,na,na
3 LA TOQUE ANGEVINE     Pizza au chorizo 450g,"peut contenir des traces de mollusques, crustaces, oeufs, poissons et fruits a coque ",na,https://www.auchan.fr/la-toque-angevine-pizza-au-chorizo/pr-C1179542,2686,na,na
19 SODEBO     Dolce Pizza aux 4 fromages 380g,"gluten, lait, oeuf, ble",C,https://www.auchan.fr/sodebo-dolce-pizza-aux-4-fromages/pr-C1216583,2687,na,na
82 SODEBO     Pizza Crust classic jambon emmental 600g,"ble, lactose, mozzarella, creme fraiche, ricotta, emmental",C,https://www.auchan.fr/sodebo-pizza-crust-classic-jambon-emmental/pr-C1215944,2688,la soiree s'annonce crust illante !,na
